feature,importance
elo_difference,0.23831181
away_elo,0.07134105
home_elo,0.07104042
away_graph_xg_diff_avg_last_5,0.036967654
home_home_xg_avg_last_5,0.034711856
head_to_head_home_xg_diff_avg_last_3,0.033629164
home_graph_xg_diff_avg_last_5,0.033442806
away_away_xg_avg_last_5,0.03243794
home_xg_avg_last_5,0.02912656
head_to_head_matches_seen,0.028959248
home_xg_conceded_avg_last_5,0.028512634
home_rest_days,0.028058605
away_xg_avg_last_5,0.026988948
away_rest_days,0.026153922
away_avg_points_last_5,0.025794178
away_away_points_avg_last_5,0.02494522
away_team_encoded,0.024314126
away_xg_conceded_avg_last_5,0.024119202
away_goals_conceded_avg_last_5,0.023392064
home_avg_points_last_5,0.023338303
head_to_head_home_points_avg_last_3,0.023328222
home_goals_scored_avg_last_5,0.022842932
home_home_points_avg_last_5,0.02236341
home_team_encoded,0.022314927
home_goals_conceded_avg_last_5,0.022033656
away_goals_scored_avg_last_5,0.021531137
away_missing_xg_rate_last_5,0.0
home_missing_xg_rate_last_5,0.0
home_avg_points_last_5_missing,0.0
away_avg_points_last_5_missing,0.0
home_goals_scored_avg_last_5_missing,0.0
away_goals_scored_avg_last_5_missing,0.0
home_xg_avg_last_5_missing,0.0
away_xg_avg_last_5_missing,0.0
home_graph_xg_diff_avg_last_5_missing,0.0
away_graph_xg_diff_avg_last_5_missing,0.0
home_elo_missing,0.0
away_elo_missing,0.0
elo_difference_missing,0.0
home_rest_days_missing,0.0
away_rest_days_missing,0.0
home_goals_conceded_avg_last_5_missing,0.0
away_goals_conceded_avg_last_5_missing,0.0
home_xg_conceded_avg_last_5_missing,0.0
away_xg_conceded_avg_last_5_missing,0.0
home_home_points_avg_last_5_missing,0.0
away_away_points_avg_last_5_missing,0.0
home_home_xg_avg_last_5_missing,0.0
away_away_xg_avg_last_5_missing,0.0
home_missing_xg_rate_last_5_missing,0.0
away_missing_xg_rate_last_5_missing,0.0
head_to_head_home_points_avg_last_3_missing,0.0
head_to_head_home_xg_diff_avg_last_3_missing,0.0
head_to_head_matches_seen_missing,0.0
