feature,importance_mean,importance_std
elo_difference,0.07865531954805512,0.009282456702298405
away_elo,0.007882941063783334,0.005588431723777192
away_team_encoded,0.007186123321797721,0.001515623659264932
head_to_head_home_xg_diff_avg_last_3,0.006103095278739612,0.0015895842988847076
home_xg_conceded_avg_last_5,0.006003402742530295,0.002664066431620755
away_xg_avg_last_5,0.005820522515913274,0.0030857761842047124
away_goals_conceded_avg_last_5,0.005308205071682348,0.002727328275493112
away_away_xg_avg_last_5,0.005079443785041993,0.0026362520657701584
home_xg_avg_last_5,0.004464615333787503,0.002154943577109974
away_avg_points_last_5,0.004246459917247747,0.0031754201720749866
away_rest_days,0.00303621491297551,0.0011824153278249658
home_team_encoded,0.002837801930202477,0.0020171359688283515
head_to_head_matches_seen,0.0026282412722455906,0.0004920156704134082
away_xg_conceded_avg_last_5,0.0025906373108491422,0.0009861142589098714
away_goals_scored_avg_last_5,0.0023225477147650444,0.0011777797909645821
home_graph_xg_diff_avg_last_5,0.0020791551427344125,0.001361460994801395
away_away_points_avg_last_5,0.001491660215882895,0.002128207206905183
head_to_head_home_points_avg_last_3,0.0013569262285708429,0.0015520896225620338
home_elo,0.0013241920519174943,0.003052338350579738
home_home_points_avg_last_5,0.001262451150974664,0.0025829330120612608
home_goals_conceded_avg_last_5,0.0011473932327968894,0.0012224679248383215
home_rest_days,0.0009500097384087525,0.0018528241900994695
away_graph_xg_diff_avg_last_5,0.0007371582170326851,0.004197837188721316
home_goals_scored_avg_last_5,0.00039516030260317025,0.0022695476550534948
elo_difference_missing,0.0,0.0
home_rest_days_missing,0.0,0.0
away_missing_xg_rate_last_5,0.0,0.0
home_missing_xg_rate_last_5,0.0,0.0
home_avg_points_last_5_missing,0.0,0.0
away_avg_points_last_5_missing,0.0,0.0
home_goals_scored_avg_last_5_missing,0.0,0.0
away_goals_scored_avg_last_5_missing,0.0,0.0
home_xg_avg_last_5_missing,0.0,0.0
away_xg_avg_last_5_missing,0.0,0.0
home_graph_xg_diff_avg_last_5_missing,0.0,0.0
away_graph_xg_diff_avg_last_5_missing,0.0,0.0
home_elo_missing,0.0,0.0
away_elo_missing,0.0,0.0
away_away_points_avg_last_5_missing,0.0,0.0
home_home_xg_avg_last_5_missing,0.0,0.0
away_rest_days_missing,0.0,0.0
home_goals_conceded_avg_last_5_missing,0.0,0.0
away_goals_conceded_avg_last_5_missing,0.0,0.0
home_xg_conceded_avg_last_5_missing,0.0,0.0
away_xg_conceded_avg_last_5_missing,0.0,0.0
home_home_points_avg_last_5_missing,0.0,0.0
away_missing_xg_rate_last_5_missing,0.0,0.0
head_to_head_home_points_avg_last_3_missing,0.0,0.0
away_away_xg_avg_last_5_missing,0.0,0.0
home_missing_xg_rate_last_5_missing,0.0,0.0
head_to_head_home_xg_diff_avg_last_3_missing,0.0,0.0
head_to_head_matches_seen_missing,0.0,0.0
home_avg_points_last_5,-0.0005459111166713937,0.0007665552728624954
home_home_xg_avg_last_5,-0.002813906582097847,0.0020877336560241955
