league,season,team,expected_finishing_position,probability_of_winning_league,probability_of_finishing_top_4,probability_of_qualifying_for_europe,probability_of_relegation,current_points,current_goal_difference
bundesliga,2025,Bayern Munich,1.0001,0.9999,1.0,1.0,0.0,73,73
bundesliga,2025,Borussia Dortmund,2.001,0.0001,1.0,1.0,0.0,64,31
bundesliga,2025,RasenBallsport Leipzig,3.7403,0.0,0.8009,0.9999,0.0,56,20
bundesliga,2025,Bayer Leverkusen,4.2297,0.0,0.584,0.9998,0.0,52,20
bundesliga,2025,VfB Stuttgart,4.3616,0.0,0.5444,0.9995,0.0,53,18
bundesliga,2025,Hoffenheim,5.6771,0.0,0.0707,0.9911,0.0,51,14
bundesliga,2025,Eintracht Frankfurt,7.3083,0.0,0.0,0.0094,0.0,42,0
bundesliga,2025,Freiburg,8.3141,0.0,0.0,0.0003,0.0,37,-6
bundesliga,2025,Mainz 05,8.8733,0.0,0.0,0.0,0.0004,33,-8
bundesliga,2025,Augsburg,10.616,0.0,0.0,0.0,0.0024,33,-17
bundesliga,2025,Union Berlin,11.9039,0.0,0.0,0.0,0.0152,32,-17
bundesliga,2025,Hamburger SV,12.6108,0.0,0.0,0.0,0.0276,31,-9
bundesliga,2025,Borussia M.Gladbach,12.8887,0.0,0.0,0.0,0.0535,30,-14
bundesliga,2025,FC Cologne,13.575,0.0,0.0,0.0,0.1545,27,-9
bundesliga,2025,Werder Bremen,13.6707,0.0,0.0,0.0,0.1496,28,-18
bundesliga,2025,St. Pauli,15.6182,0.0,0.0,0.0,0.665,25,-20
bundesliga,2025,Wolfsburg,16.7627,0.0,0.0,0.0,0.9336,21,-26
bundesliga,2025,FC Heidenheim,17.8485,0.0,0.0,0.0,0.9982,19,-32
la_liga,2025,Barcelona,1.0173,0.9827,1.0,1.0,0.0,76,51
la_liga,2025,Real Madrid,1.9885,0.0173,1.0,1.0,0.0,70,36
la_liga,2025,Villarreal,3.4815,0.0,0.9979,1.0,0.0,58,19
la_liga,2025,Atletico Madrid,3.5171,0.0,0.9982,1.0,0.0,57,20
la_liga,2025,Real Betis,5.8753,0.0,0.0024,0.8999,0.0,45,7
la_liga,2025,Celta Vigo,6.5126,0.0,0.0014,0.7882,0.0,44,7
la_liga,2025,Real Sociedad,7.4537,0.0,0.0001,0.5717,0.0,42,1
la_liga,2025,Getafe,8.2658,0.0,0.0,0.3811,0.0,41,-4
la_liga,2025,Athletic Club,9.7931,0.0,0.0,0.1505,0.0007,38,-11
la_liga,2025,Osasuna,10.3256,0.0,0.0,0.0985,0.0004,38,-1
la_liga,2025,Rayo Vallecano,11.1072,0.0,0.0,0.0638,0.0052,35,-6
la_liga,2025,Espanyol,11.8249,0.0,0.0,0.0274,0.0061,38,-8
la_liga,2025,Girona,12.3868,0.0,0.0,0.0157,0.0078,38,-12
la_liga,2025,Valencia,14.3872,0.0,0.0,0.0015,0.0713,35,-12
la_liga,2025,Mallorca,15.2611,0.0,0.0,0.0012,0.1849,31,-12
la_liga,2025,Alaves,15.7475,0.0,0.0,0.0001,0.218,33,-11
la_liga,2025,Elche,16.1012,0.0,0.0,0.0001,0.2664,32,-8
la_liga,2025,Sevilla,16.8349,0.0,0.0,0.0003,0.4455,31,-13
la_liga,2025,Levante,18.4937,0.0,0.0,0.0,0.8233,26,-16
la_liga,2025,Real Oviedo,19.625,0.0,0.0,0.0,0.9704,24,-27
ligue_1,2025,Paris Saint-Germain,1.0117,0.9883,1.0,1.0,0.0,63,38
ligue_1,2025,Lens,2.0423,0.0117,0.9993,0.9993,0.0,59,27
ligue_1,2025,Marseille,3.8928,0.0,0.77,0.77,0.0,52,20
ligue_1,2025,Lille,4.0141,0.0,0.728,0.728,0.0,50,11
ligue_1,2025,Monaco,5.725,0.0,0.195,0.195,0.0,49,7
ligue_1,2025,Lyon,5.8442,0.0,0.176,0.176,0.0,48,12
ligue_1,2025,Rennes,6.3817,0.0,0.1008,0.1008,0.0,47,7
ligue_1,2025,Strasbourg,7.1558,0.0,0.0309,0.0309,0.0,43,12
ligue_1,2025,Lorient,9.6547,0.0,0.0,0.0,0.0,38,-4
ligue_1,2025,Toulouse,10.5054,0.0,0.0,0.0,0.0,37,4
ligue_1,2025,Brest,10.9665,0.0,0.0,0.0,0.0,36,-6
ligue_1,2025,Paris FC,11.5323,0.0,0.0,0.0,0.0001,35,-8
ligue_1,2025,Angers,12.8294,0.0,0.0,0.0,0.0039,33,-13
ligue_1,2025,Le Havre,14.206,0.0,0.0,0.0,0.0905,28,-13
ligue_1,2025,Nice,14.5695,0.0,0.0,0.0,0.1586,27,-22
ligue_1,2025,Auxerre,15.7748,0.0,0.0,0.0,0.7552,23,-14
ligue_1,2025,Nantes,17.0043,0.0,0.0,0.0,0.9918,18,-21
ligue_1,2025,Metz,17.8895,0.0,0.0,0.0,0.9999,15,-37
premier_league,2025,Arsenal,1.068,0.932,1.0,1.0,0.0,70,38
premier_league,2025,Manchester City,2.0038,0.068,0.9994,1.0,0.0,61,32
premier_league,2025,Manchester United,3.5291,0.0,0.8964,0.9978,0.0,55,13
